status,method,next_path,openapi_path,file
present,DELETE,/api/admin/riders/[id]/data-deletion,/api/admin/riders/{id}/data-deletion,D:\voltium\web\src\app\api\admin\riders\[id]\data-deletion\route.ts
present,GET,/api/admin/riders/[id]/device-data,/api/admin/riders/{id}/device-data,D:\voltium\web\src\app\api\admin\riders\[id]\device-data\route.ts
present,PUT,/api/admin/riders/[id]/plan,/api/admin/riders/{id}/plan,D:\voltium\web\src\app\api\admin\riders\[id]\plan\route.ts
present,GET,/api/admin/riders/[id],/api/admin/riders/{id},D:\voltium\web\src\app\api\admin\riders\[id]\route.ts
present,POST,/api/admin/riders/[id]/wallet-adjust,/api/admin/riders/{id}/wallet-adjust,D:\voltium\web\src\app\api\admin\riders\[id]\wallet-adjust\route.ts
present,POST,/api/admin/scores/recalculate,/api/admin/scores/recalculate,D:\voltium\web\src\app\api\admin\scores\recalculate\route.ts
present,GET,/api/admin/scores,/api/admin/scores,D:\voltium\web\src\app\api\admin\scores\route.ts
present,POST,/api/admin/scores,/api/admin/scores,D:\voltium\web\src\app\api\admin\scores\route.ts
present,GET,/api/admin/server-health,/api/admin/server-health,D:\voltium\web\src\app\api\admin\server-health\route.ts
present,GET,/api/admin/settings,/api/admin/settings,D:\voltium\web\src\app\api\admin\settings\route.ts
present,PUT,/api/admin/settings,/api/admin/settings,D:\voltium\web\src\app\api\admin\settings\route.ts
present,GET,/api/admin/shifts,/api/admin/shifts,D:\voltium\web\src\app\api\admin\shifts\route.ts
present,POST,/api/admin/shifts,/api/admin/shifts,D:\voltium\web\src\app\api\admin\shifts\route.ts
present,PUT,/api/admin/shifts,/api/admin/shifts,D:\voltium\web\src\app\api\admin\shifts\route.ts
present,DELETE,/api/admin/shifts,/api/admin/shifts,D:\voltium\web\src\app\api\admin\shifts\route.ts
present,GET,/api/admin/system-settings,/api/admin/system-settings,D:\voltium\web\src\app\api\admin\system-settings\route.ts
present,PUT,/api/admin/system-settings,/api/admin/system-settings,D:\voltium\web\src\app\api\admin\system-settings\route.ts
present,POST,/api/admin/team-leaders/bulk,/api/admin/team-leaders/bulk,D:\voltium\web\src\app\api\admin\team-leaders\bulk\route.ts
present,POST,/api/admin/team-leaders/bulk/undo,/api/admin/team-leaders/bulk/undo,D:\voltium\web\src\app\api\admin\team-leaders\bulk\undo\route.ts
present,GET,/api/admin/team-leaders,/api/admin/team-leaders,D:\voltium\web\src\app\api\admin\team-leaders\route.ts
present,POST,/api/admin/team-leaders,/api/admin/team-leaders,D:\voltium\web\src\app\api\admin\team-leaders\route.ts
